Description,Sector
Aerospace & Defense,Aerospace & Defense
Sugar,Agricultural Food & other Products
Tea & Coffee,Agricultural Food & other Products
Edible Oil,Agricultural Food & other Products
Other Agricultural Products,Agricultural Food & other Products
Construction Vehicles,Agricultural Commercial & Construction Vehicles
Commercial Vehicles,Agricultural Commercial & Construction Vehicles
Tractors,Agricultural Commercial & Construction Vehicles
Auto Components & Equipments,Auto Components
Tyres & Rubber Products,Auto Components
Trading - Auto Components,Auto Components
Passenger Cars & Utility Vehicles,Automobiles
2/3 Wheelers,Automobiles
Auto -Dealer,Automobiles
Public Sector Bank,Banks
Private Sector Bank,Banks
Other Bank,Banks
Breweries & Distilleries,Beverages
Other Beverages,Beverages
Other Capital Market related Services,Capital Markets
Stockbroking & Allied,Capital Markets
Asset Management Company,Capital Markets
Ratings,Capital Markets
Mutual Fund Scheme - ETF,Capital Markets
Exchange and Data Platform,Capital Markets
Depositories- Clearing Houses and Other Intermediaries,Capital Markets
Financial Products Distributor,Capital Markets
Cement & Cement Products,Cement & Cement Products
Commodity Chemicals,Chemicals & Petrochemicals
Specialty Chemicals,Chemicals & Petrochemicals
Printing Inks,Chemicals & Petrochemicals
Petrochemicals,Chemicals & Petrochemicals
Trading - Chemicals,Chemicals & Petrochemicals
Dyes And Pigments,Chemicals & Petrochemicals
Explosives,Chemicals & Petrochemicals
Carbon Black,Chemicals & Petrochemicals
Industrial Gases,Chemicals & Petrochemicals
Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Trading & Distributors,Commercial Services & Supplies
Diversified Commercial Services,Commercial Services & Supplies
Consulting Services,Commercial Services & Supplies
Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Commercial Services & Supplies
Data Processing Services,Commercial Services & Supplies
Civil Construction,Construction
Coal,Consumable Fuels
Trading Coal,Consumable Fuels
Household Appliances,Consumer Durables
Footwear,Consumer Durables
Consumer Electronics,Consumer Durables
Gems- Jewellery And Watches,Consumer Durables
Paints,Consumer Durables
Ceramics,Consumer Durables
Plastic Products - Consumer,Consumer Durables
Furniture- Home Furnishing,Consumer Durables
Houseware,Consumer Durables
Leather And Leather Products,Consumer Durables
Granites & Marbles,Consumer Durables
Plywood Boards/ Laminates,Consumer Durables
Diversified consumer products,Consumer Durables
Leisure Products,Consumer Durables
Glass - Consumer,Consumer Durables
Sanitary Ware,Consumer Durables
Diversified,Diversified
Diversified FMCG,Diversified FMCG
Diversified Metals,Diversified Metals
Heavy Electrical Equipment,Electrical Equipment
Other Electrical Equipment,Electrical Equipment
Dredging,Engineering Services
Film Production- Distribution & Exhibition,Entertainment
TV Broadcasting & Software Production,Entertainment
Media & Entertainment,Entertainment
Digital Entertainment,Entertainment
Sponge Iron,Ferrous Metals
Iron & Steel,Ferrous Metals
Pig Iron,Ferrous Metals
Ferro & Silica Manganese,Ferrous Metals
Fertilizers,Fertilizers & Agrochemicals
Pesticides & Agrochemicals,Fertilizers & Agrochemicals
Non Banking Financial Company (NBFC),Finance
Other Financial Services,Finance
Financial Institution,Finance
Investment Company,Finance
Holding Company,Finance
Housing Finance Company,Finance
Microfinance Institutions,Finance
Financial Technology (Fintech),Financial Technology (Fintech)
Dairy Products,Food Products
Other Food Products,Food Products
Packaged Foods,Food Products
Seafood,Food Products
Animal Feed,Food Products
Meat Products including Poultry,Food Products
Trading - Gas,Gas
LPG/CNG/PNG/LNG Supplier,Gas
Gas Transmission/Marketing,Gas
Medical Equipment & Supplies,Healthcare Equipment & Supplies
Hospital,Healthcare Services
Healthcare Service Provider,Healthcare Services
Healthcare Research- Analytics & Technology,Healthcare Services
Household Products,Household Products
Stationary,Household Products
Industrial Products,Industrial Manufacturing
Ship Building & Allied Services,Industrial Manufacturing
Railway Wagons,Industrial Manufacturing
Aluminium- Copper & Zinc Products,Industrial Products
Iron & Steel Products,Industrial Products
Other Industrial Products,Industrial Products
Packaging,Industrial Products
Cables - Electricals,Industrial Products
Compressors- Pumps & Diesel Engines,Industrial Products
Plastic Products - Industrial,Industrial Products
Rubber,Industrial Products
Abrasives & Bearings,Industrial Products
Glass - Industrial,Industrial Products
Electrodes & Refractories,Industrial Products
Castings & Forgings,Industrial Products
Life Insurance,Insurance
General Insurance,Insurance
Insurance Distributors,Insurance
Computers Hardware & Equipments,IT - Hardware
IT Enabled Services,IT - Services
Computers - Software & Consulting,IT - Software
Software Products,IT - Software
Hotels & Resorts,Leisure Services
"Tour, Travel Related Services",Leisure Services
Restaurants,Leisure Services
Amusement Parks/ Other Recreation,Leisure Services
Wellness,Leisure Services
Print Media,Media
Electronic Media,Media
Advertising & Media Agencies,Media
Trading - Metals,Metals & Minerals Trading
Trading - Minerals,Metals & Minerals Trading
Industrial Minerals,Minerals & Mining
Precious Metals,Non - Ferrous Metals
Zinc,Non - Ferrous Metals
Aluminium,Non - Ferrous Metals
Copper,Non - Ferrous Metals
Oil Storage & Transportation,Oil
Oil Exploration & Production,Oil
Oil Equipment & Services,Oil
Offshore Support Solution Drilling,Oil
Other Construction Materials,Other Construction Materials
Education,Other Consumer Services
E-Learning,Other Consumer Services
Other Consumer Services,Other Consumer Services
Food Storage Facilities,Other Consumer Services
Water Supply & Management,Other Utilities
Waste Management,Other Utilities
Other Utilities,Other Utilities
Paper & Paper Products,"Paper, Forest & Jute Products"
Forest Products,"Paper, Forest & Jute Products"
Jute & Jute Products,"Paper, Forest & Jute Products"
Personal Care,Personal Products
Refineries & Marketing,Petroleum Products
Lubricants,Petroleum Products
Pharmaceuticals,Pharmaceuticals & Biotechnology
Biotechnology,Pharmaceuticals & Biotechnology
Integrated Power Utilities,Power
Power Generation,Power
Power Trading,Power
Power - Transmission,Power
Power Distribution,Power
Printing & Publication,Printing & Publication
Residential- Commercial Projects,Realty
Real Estate related services,Realty
Speciality Retail,Retailing
Internet & Catalogue Retail,Retailing
Diversified Retail,Retailing
E-Retail/ E-Commerce,Retailing
Distributors,Retailing
Pharmacy Retail,Retailing
industry,sector
Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Telecom - Cellular & Fixed line services,Telecom - Services
Other Telecom Services,Telecom - Services
Telecom - Infrastructure,Telecom - Services
Other Textile Products,Textiles & Apparels
Garments & Apparels,Textiles & Apparels
Trading - Textile Products,Textiles & Apparels
Port & Port services,Transport Infrastructure
Road Assets–Toll- Annuity- Hybrid-Annuity,Transport Infrastructure
Airport & Airport services,Transport Infrastructure
Airline,Transport Services
Shipping,Transport Services
Logistics Solution Provider,Transport Services
Road Transport,Transport Services
Transport Related Services,Transport Services
Default,Default
